constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
MAGRAHAT PURBA,141,SARMISTHA PURKAIT,All India Trinamool Congress,UTTAM KUMAR BANIK,Bharatiya Janata Party,31607,21/21,Result Declared,21,21
MAGRAHAT PASCHIM,142,MD. SAMIM AHAMED MOLLA,All India Trinamool Congress,GOURSUNDAR GHOSH,Bharatiya Janata Party,58503,19/19,Result Declared,19,19
DIAMOND HARBOUR,143,PANNA LAL HALDER,All India Trinamool Congress,DIPAK KUMAR HALDER,Bharatiya Janata Party,31266,24/24,Result Declared,24,24
FALTA,144,,Party Wise State Trends,,Party Wise State Trends,-,-,Result in Progress,,
SATGACHHIA,145,AGNISWAR NASKAR,Bharatiya Janata Party,SOMASHREE BETAL,All India Trinamool Congress,401,18/18,Result Declared,18,18
BISHNUPUR,146,DILIP MONDAL,All India Trinamool Congress,ABHIJIT SARDAR,Bharatiya Janata Party,36925,24/24,Result Declared,24,24
SONARPUR DAKSHIN,147,RUPA GANGULY,Bharatiya Janata Party,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,35782,21/21,Result Declared,21,21
BHANGAR,148,MD NAWSAD SIDDIQUE,All India Secular Front,SAOKAT MOLLA,All India Trinamool Congress,32088,18/18,Result Declared,18,18
KASBA,149,AHMED JAVED KHAN,All India Trinamool Congress,BANERJEE SANDIP,Bharatiya Janata Party,20974,23/23,Result Declared,23,23
JADAVPUR,150,SARBORI MUKHERJEE,Bharatiya Janata Party,DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,27716,26/26,Result Declared,26,26
SONARPUR UTTAR,151,DEBASISH DHAR,Bharatiya Janata Party,FIRDOUSI BEGAM,All India Trinamool Congress,9807,22/22,Result Declared,22,22
TOLLYGANJ,152,PAPIA ADHIKARY,Bharatiya Janata Party,AROOP BISWAS,All India Trinamool Congress,6013,17/17,Result Declared,17,17
BEHALA PURBA,153,SANKAR SIKDER,Bharatiya Janata Party,SUBHASISH CHAKRABORTY,All India Trinamool Congress,25137,23/23,Result Declared,23,23
BEHALA PASCHIM,154,DR. INDRANIL KHAN,Bharatiya Janata Party,RATNA CHATTERJEE,All India Trinamool Congress,24699,26/26,Result Declared,26,26
MAHESHTALA,155,SUBHASIS DAS,All India Trinamool Congress,TAMANATH BHOWMICK,Bharatiya Janata Party,32913,17/17,Result Declared,17,17
BUDGE BUDGE,156,ASHOK KUMAR DEB,All India Trinamool Congress,DR TARUN KUMAR ADAK,Bharatiya Janata Party,46850,12/12,Result Declared,12,12
METIABURUZ,157,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,BIR BAHADUR SINGH,Bharatiya Janata Party,87879,11/11,Result Declared,11,11
KOLKATA PORT,158,FIRHAD HAKIM,All India Trinamool Congress,RAKESH SINGH,Bharatiya Janata Party,56080,19/19,Result Declared,19,19
BHABANIPUR,159,ADHIKARI SUVENDU,Bharatiya Janata Party,MAMATA BANERJEE,All India Trinamool Congress,15105,20/20,Result Declared,20,20
RASHBEHARI,160,DASGUPTA SWAPAN,Bharatiya Janata Party,DEBASISH KUMAR (DEBA),All India Trinamool Congress,20865,20/20,Result Declared,20,20
BALLYGUNGE,161,SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,SHATORUPA,Bharatiya Janata Party,61476,16/16,Result Declared,16,16
CHOWRANGEE,162,BANDYOPADHYAY NAYNA,All India Trinamool Congress,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,22002,21/21,Result Declared,21,21
ENTALLY,163,SANDIPAN SAHA,All India Trinamool Congress,DR. PRIYANKA TIBREWAL,Bharatiya Janata Party,34006,21/21,Result Declared,21,21
