constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
DURGAPUR PASCHIM,277,LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,KABI DUTTA,All India Trinamool Congress,37598,21/21,Result Declared,21,21
RANIGANJ,278,PARTHA GHOSH,Bharatiya Janata Party,KALOBARAN MONDAL,All India Trinamool Congress,17786,20/20,Result Declared,20,20
JAMURIA,279,DR. BIJAN MUKHERJEE,Bharatiya Janata Party,HARERAM SINGH,All India Trinamool Congress,22514,15/15,Result Declared,15,15
ASANSOL DAKSHIN,280,AGNIMITRA PAUL,Bharatiya Janata Party,TAPAS BANERJEE,All India Trinamool Congress,40839,15/15,Result Declared,15,15
ASANSOL UTTAR,281,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,MOLOY GHATAK,All India Trinamool Congress,11615,15/15,Result Declared,15,15
KULTI,282,AJAY KUMAR PODDAR,Bharatiya Janata Party,ABHIJIT GHATAK,All India Trinamool Congress,26498,16/16,Result Declared,16,16
BARABANI,283,ARIJIT ROY,Bharatiya Janata Party,BIDHAN UPADHYAY,All India Trinamool Congress,11722,12/12,Result Declared,12,12
DUBRAJPUR,284,ANUP KUMAR SAHA,Bharatiya Janata Party,NARESH CHANDRA BAURI,All India Trinamool Congress,27647,21/21,Result Declared,21,21
SURI,285,JAGANNATH CHATTOPADHYAY,Bharatiya Janata Party,UJJAL CHATTERJEE,All India Trinamool Congress,28686,24/24,Result Declared,24,24
BOLPUR,286,CHANDRANATH SINHA,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,13188,23/23,Result Declared,23,23
NANOOR,287,BIDHAN CHANDRA MAJHI,All India Trinamool Congress,KHOKAN DAS,Bharatiya Janata Party,8122,24/24,Result Declared,24,24
LABPUR,288,DEBASIS OJHA (HAKU DA),Bharatiya Janata Party,ABHIJIT SINHA (RANA),All India Trinamool Congress,3550,21/21,Result Declared,21,21
SAINTHIA,289,KRISHNA KANTA SAHA,Bharatiya Janata Party,NILABATI SAHA,All India Trinamool Congress,10306,25/25,Result Declared,25,25
MAYURESWAR,290,DUDH KUMAR MONDAL,Bharatiya Janata Party,ABHIJIT ROY,All India Trinamool Congress,21002,20/20,Result Declared,20,20
RAMPURHAT,291,DHRUBA SAHA,Bharatiya Janata Party,ASISH BANERJEE,All India Trinamool Congress,24233,23/23,Result Declared,23,23
HANSAN,292,FAYEZUL HAQUE (KAJAL SK),All India Trinamool Congress,NIKHIL BANERJEE,Bharatiya Janata Party,28298,22/22,Result Declared,22,22
NALHATI,293,RAJENDRA PRASAD SINGH(RAJU SINGH),All India Trinamool Congress,ANIL KUMAR SINGH,Bharatiya Janata Party,13446,21/21,Result Declared,21,21
MURARAI,294,DR. MOSARRAF HOSSAIN,All India Trinamool Congress,SANJIBUR RAHAMAN (BAPPA),Indian National Congress,37705,22/22,Result Declared,22,22
