AC No.,Total
1,251603
11,195856
28,296052
40,225809
51,233500
57,237476
62,266629
70,240957
81,216794
92,220554
98,176228
108,187425
111,279438
127,237359
134,194505
138,266019
147,288449
151,206770
163,172979
166,225363
170,254453
178,194732
184,303371
188,227789
198,254549
202,212220
209,233433
213,203732
224,273520
229,286968
149,261161
101,220743
77,297472
219,236532
27,536991
47,240220
38,199165
160,239469
