constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
JORHAT,100,HITENDRA NATH GOSWAMI,Bharatiya Janata Party,GAURAV GOGOI,Indian National Congress,23182,14/14,Result Declared,14,14
MARIANI,101,RUPJYOTI KURMI,Bharatiya Janata Party,GYANASHREE BORA,Raijor Dal,26840,15/15,Result Declared,15,15
TITABOR,102,DHIRAJ GOWALA,Bharatiya Janata Party,PRAN KURMI,Indian National Congress,23315,16/16,Result Declared,16,16
GOLAGHAT,103,AJANTA NEOG,Bharatiya Janata Party,Bitupan Saikia,Indian National Congress,43759,20/20,Result Declared,20,20
DERGAON,104,MRIDUL KUMAR DUTTA,Bharatiya Janata Party,SAGORIKA BORA,Indian National Congress,36953,19/19,Result Declared,19,19
BOKAKHAT,105,ATUL BORA,Asom Gana Parishad,HARI PRASAD SAIKIA,Raijor Dal,60537,18/18,Result Declared,18,18
KHUMTAI,106,MRINAL SAIKIA,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,58412,18/18,Result Declared,18,18
SARUPATHAR,107,BISWAJIT PHUKAN,Bharatiya Janata Party,JIBAN CHUTIA,Assam Jatiya Parishad,56080,17/17,Result Declared,17,17
BOKAJAN,108,SURJYA RONGPHAR,Bharatiya Janata Party,RATON ENGTI,Indian National Congress,17466,17/17,Result Declared,17,17
HOWRAGHAT,109,LUNSING TERON,Bharatiya Janata Party,SANJEEB TERON,Indian National Congress,78106,20/20,Result Declared,20,20
DIPHU,110,NISO TERANGPI,Bharatiya Janata Party,J. I KATHAR,Independent,49740,18/18,Result Declared,18,18
RONGKHANG,111,TULIRAM RONGHANG,Bharatiya Janata Party,AUGUSTINE ENGHEE,Indian National Congress,60243,18/18,Result Declared,18,18
AMRI,112,HABBEY TERON,Bharatiya Janata Party,BIKRAM HANSE,Independent,23910,17/17,Result Declared,17,17
HAFLONG,113,RUPALI LANGTHASA,Bharatiya Janata Party,DANIEL LANGTHASA,National People's Party,50306,24/24,Result Declared,24,24
LAKHIPUR,114,KAUSHIK RAI,Bharatiya Janata Party,M. SANTI KUMAR SINGHA,Indian National Congress,99401,16/16,Result Declared,16,16
UDHARBOND,115,RAJDEEP GOALA,Bharatiya Janata Party,AJIT SINGH,Indian National Congress,55464,18/18,Result Declared,18,18
KATIGORAH,116,KAMALAKHYA DEY PURKAYASTHA,Bharatiya Janata Party,AMAR CHAND JAIN,Indian National Congress,37680,23/23,Result Declared,23,23
BORKHOLA,117,KISHOR NATH,Bharatiya Janata Party,AMIT KUMAR KALWAR,Indian National Congress,36613,19/19,Result Declared,19,19
SILCHAR,118,DR. RAJDEEP ROY,Bharatiya Janata Party,ABHIJIT PAUL,Indian National Congress,53997,22/22,Result Declared,22,22
SONAI,119,AMINUL HAQUE LASKAR,Indian National Congress,KARIM UDDIN BARBHUIYA,Asom Gana Parishad,27170,19/19,Result Declared,19,19
DHOLAI,120,AMIYA KANTI DAS,Bharatiya Janata Party,DHRUBAJYOTI PURKAYASTHA,Indian National Congress,44462,19/19,Result Declared,19,19
HAILAKANDI,121,MILON DAS,Bharatiya Janata Party,RAHUL ROY,Indian National Congress,55817,24/24,Result Declared,24,24
ALGAPUR-KATLICHERRA,122,ZUBAIR ANAM MAZUMDER,Indian National Congress,ZAKIR HUSSAIN LASKAR,Asom Gana Parishad,105448,26/26,Result Declared,26,26
KARIMGANJ NORTH,123,JAKARIA AHMED,Indian National Congress,SUBRATA BHATTACHARJEE,Bharatiya Janata Party,26003,26/26,Result Declared,26,26
KARIMGANJ SOUTH,124,AMINUR RASHID CHOUDHURY,Indian National Congress,EKBAL HUSSAIN,Asom Gana Parishad,86632,30/30,Result Declared,30,30
PATHARKANDI,125,KRISHNENDU PAUL,Bharatiya Janata Party,KARTIK SENA SINHA,Indian National Congress,46764,21/21,Result Declared,21,21
RAM KRISHNA NAGAR,126,BIJOY MALAKAR,Bharatiya Janata Party,SURUCHI ROY,Indian National Congress,83765,25/25,Result Declared,25,25
